stat,unf,tourn_avg,tourn_med,percentile,gap,direction,tier,category
Batting Avg,0.261,0.287,0.284,3.1,-0.026,higher,GAP,Offense
OBP,0.369,0.393,0.39,4.7,-0.024,higher,GAP,Offense
SLG,0.409,0.47,0.468,6.2,-0.061,higher,GAP,Offense
OPS,0.778,0.864,0.856,3.1,-0.086,higher,GAP,Offense
ISO,0.148,0.183,0.178,18.8,-0.035,higher,GAP,Offense
Runs/Game,5.95,7.265,7.11,4.7,-1.315,higher,GAP,Offense
wOBA,0.344,0.377,0.375,3.1,-0.033,higher,GAP,Offense
K% Off,0.259,0.234,0.231,18.8,0.025,lower,GAP,Offense
BB% Off,0.147,0.14,0.138,67.2,0.007,higher,AVERAGE,Offense
ERA,4.62,5.102,5.0,70.3,-0.482,lower,AVERAGE,Pitching
FIP,4.54,5.107,5.145,85.9,-0.567,lower,STRENGTH,Pitching
WHIP,1.4,1.447,1.425,57.8,-0.047,lower,AVERAGE,Pitching
K/9,8.9,9.343,9.425,39.1,-0.443,higher,GAP,Pitching
BB/9,4.2,4.202,4.24,53.1,-0.002,lower,AVERAGE,Pitching
HR/9 Allowed,0.66,1.123,1.095,100.0,-0.463,lower,STRENGTH,Pitching
Fielding %,0.965,0.975,0.976,9.4,-0.01,higher,GAP,Defense
Errors/Game,1.24,0.9,0.86,10.9,0.34,lower,GAP,Defense
